instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
,,f,1,0.939555,,0,362,362,362,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.73643,,0,363,363,363,1,0,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.59652,,0,364,364,364,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.208455,,0,365,365,365,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.430935,,0,366,366,366,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.02173,,0,367,367,367,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.85212,,0,368,368,368,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.886585,,0,369,369,369,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.748965,,0,370,370,370,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.69754,,0,371,371,371,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.792015,,0,372,372,372,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.960285,,0,373,373,373,1,1,4,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.79019,,0,374,374,374,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.812345,,0,375,375,375,1,1,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.897085,,0,376,376,376,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
